<<<<<<< Updated upstream
[
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "In other words #katandandre, your food was crapilicious! #mkr",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "In other words #katandandre, your food was crapilicious! #mkr",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Why is #aussietv so white? #MKR #theblock #ImACelebrityAU #today #sunrise #studio10 #Neighbours #WonderlandTen #etc",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@XochitlSuckkks a classy whore? Or more red velvet cupcakes?",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@Jason_Gio meh. :P  thanks for the heads up, but not too concerned about another angry dude on twitter.",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@RudhoeEnglish This is an ISIS account pretending to be a Kurdish account.  Like Islam, it is all lies.",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@Raja5aab @Quickieleaks Yes, the test of god is that good or bad or indifferent or weird or whatever, it all proves gods existence.",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Itu sekolah ya bukan tempat bully! Ga jauh kaya neraka",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Karma. I hope it bites Kat on the butt. She is just nasty. #mkr",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@stockputout everything but mostly my priest",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Rebecca Black Drops Out of School Due to Bullying:",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@Jord_Is_Dead http://t.co/UsQInYW5Gn",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "The Bully flushes on KD http://twitvid.com/A2TNP",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Ughhhh #MKR",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "RT @Kurdsnews: Turkish state has killed 241 children in last 11 years http://t.co/JlvkE1epws  #news  ##GoogleÇeviriciTopluluğuKürtçeyideE…",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Love that the best response to the hotcakes they managed to film was a non-committal \"meh\" from some adolescent. #MKR",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@yasmimcaci @Bferrarii PAREM DE FAZER BULLYING COMIGO =( UHAHUAH BANDO DE PRETO",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@sarinhacoral @Victor_Maggi tadinhu de mim , sofrendo bulling viu MIMI'",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@0xabad1dea @kelseytheodore2 twitter is basically the angry letters of our generation.",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Best pick up line? Hi, you're cute... ?: I love how people call James Potter is a bully. - mypatronusisyou: http://tumblr.com/xol3xl14zy",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Now I gotta walk to classss?! I officially hate the stupid bus system! -_-",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I know Saudis chased girls into a burning building. http://t.co/8b1AclczN9",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Kids Love😘❤ @ Mohamad Bin Zayed City مدينة محمد بن زايد http://t.co/0xrOZSNn",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "I still have Jack, Amsterdam, Ciroc, Crown, Bud Light, Lime-a-rita, and CRU in my love handles. I feel the jiggle when I walk...",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@scottyswaggod men are the ones that are going to push the real change. they are the ones in power, generally. we need their help.",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Wishing my arena partner was on. &gt;.&gt;  Really want to get some PvP happening.",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "Education Nation: Bullying | Turn to 10 http://t.co/sxTIWtp",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@sand_dejesus Isso é bullying! @O_Patriarca",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@gcarothers eek. i can't stand split keyboards. doesn't work well with MMOs.",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "@MaxBlumenthal @cpassevant @anadumitrescu13 Post-Hebdo? LOL. Events like it are a daily occurrence around the world. Why isolate one.",
   "input": ""
 },
 {
   "text": "Here is a classification that determines whether a given text is considered cyberbullying or not; and if so, which kind. ",
   "output": "not_cyberbullying",
   "instruction": "You know there are people out there who like @joeyBADASS_ but don't listen to old school.",
   "input": ""
 },
 {
